_id,Name,Date,Month,Year,WaterDataFront,WaterDataBack,WaterDrainRate
655dab929aca5f2a9a6ea3f4,Huana,24,3,2016,131,164,112
655dab929aca5f2a9a6ea3f5,Huana,25,3,2016,124,148,142
655dab929aca5f2a9a6ea3f6,Huana,26,3,2016,180,104,136
655dab929aca5f2a9a6ea3f7,Huana,27,3,2016,107,167,146
655dab929aca5f2a9a6ea3f8,Huana,28,3,2016,187,106,132
655dab929aca5f2a9a6ea3f9,Huana,29,3,2016,197,153,124
655dab929aca5f2a9a6ea3fa,Huana,30,3,2016,169,169,138
655dab929aca5f2a9a6ea3fb,Huana,31,3,2016,137,175,94
655dab929aca5f2a9a6ea3fc,Huana,1,4,2016,103,148,128
655dab929aca5f2a9a6ea3fd,Huana,2,4,2016,143,146,146
655dab929aca5f2a9a6ea3fe,Huana,3,4,2016,130,125,136
655dab929aca5f2a9a6ea3ff,Huana,4,4,2016,187,130,130
655dab929aca5f2a9a6ea400,Huana,5,4,2016,158,165,140
655dab929aca5f2a9a6ea401,Huana,6,4,2016,116,179,128
655dab929aca5f2a9a6ea402,Huana,7,4,2016,134,171,102
655dab929aca5f2a9a6ea403,Huana,8,4,2016,146,130,144
655dab929aca5f2a9a6ea404,Huana,9,4,2016,156,135,96
655dab929aca5f2a9a6ea405,Huana,10,4,2016,199,115,146
655dab929aca5f2a9a6ea406,Huana,11,4,2016,119,149,138
655dab929aca5f2a9a6ea407,Huana,12,4,2016,116,148,138
655dab929aca5f2a9a6ea408,Huana,13,4,2016,173,90,112
655dab929aca5f2a9a6ea409,Huana,14,4,2016,101,120,118
655dab929aca5f2a9a6ea40a,Huana,15,4,2016,140,179,132
655dab929aca5f2a9a6ea40b,Huana,16,4,2016,170,99,146
655dab929aca5f2a9a6ea40c,Huana,17,4,2016,120,172,126
655dab929aca5f2a9a6ea40d,Huana,18,4,2016,166,156,146
655dab929aca5f2a9a6ea40e,Huana,19,4,2016,166,137,116
655dab929aca5f2a9a6ea40f,Huana,20,4,2016,100,170,130
655dab929aca5f2a9a6ea410,Huana,21,4,2016,181,128,142
655dab929aca5f2a9a6ea411,Huana,22,4,2016,183,143,90
655dab929aca5f2a9a6ea412,Huana,23,4,2016,104,98,112
655dab929aca5f2a9a6ea413,Huana,24,4,2016,138,157,126
655dab929aca5f2a9a6ea414,Huana,25,4,2016,106,143,96
655dab929aca5f2a9a6ea415,Huana,26,4,2016,100,133,148
655dab929aca5f2a9a6ea416,Huana,27,4,2016,122,156,136
655dab929aca5f2a9a6ea417,Huana,28,4,2016,163,134,124
655dab929aca5f2a9a6ea418,Huana,29,4,2016,189,101,110
655dab929aca5f2a9a6ea419,Huana,30,4,2016,118,94,120
655dab929aca5f2a9a6ea41a,Huana,1,5,2016,191,94,142
655dab929aca5f2a9a6ea41b,Huana,2,5,2016,119,96,106
655dab929aca5f2a9a6ea41c,Huana,3,5,2016,135,149,138
655dab929aca5f2a9a6ea41d,Huana,4,5,2016,170,126,120
655dab929aca5f2a9a6ea41e,Huana,5,5,2016,134,102,128
655dab929aca5f2a9a6ea41f,Huana,6,5,2016,159,156,148
655dab929aca5f2a9a6ea420,Huana,7,5,2016,189,141,138
655dab929aca5f2a9a6ea421,Huana,8,5,2016,107,149,94
655dab929aca5f2a9a6ea422,Huana,9,5,2016,124,149,100
655dab929aca5f2a9a6ea423,Huana,10,5,2016,173,154,128
655dab929aca5f2a9a6ea424,Huana,11,5,2016,104,156,106
655dab929aca5f2a9a6ea425,Huana,12,5,2016,144,170,90
655dab929aca5f2a9a6ea426,Huana,13,5,2016,176,136,116
655dab929aca5f2a9a6ea427,Huana,14,5,2016,156,106,122
655dab929aca5f2a9a6ea428,Huana,15,5,2016,112,145,132
655dab929aca5f2a9a6ea429,Huana,16,5,2016,187,164,94
655dab929aca5f2a9a6ea42a,Huana,17,5,2016,142,126,116
655dab929aca5f2a9a6ea42b,Huana,18,5,2016,110,166,138
655dab929aca5f2a9a6ea42c,Huana,19,5,2016,171,138,122
655dab929aca5f2a9a6ea42d,Huana,20,5,2016,199,147,138
655dab929aca5f2a9a6ea42e,Huana,21,5,2016,116,149,136
655dab929aca5f2a9a6ea42f,Huana,22,5,2016,117,140,148
655dab929aca5f2a9a6ea430,Huana,23,5,2016,129,172,122
655dab929aca5f2a9a6ea431,Huana,24,5,2016,107,125,92
655dab929aca5f2a9a6ea432,Huana,25,5,2016,167,172,120
655dab929aca5f2a9a6ea433,Huana,26,5,2016,126,148,146
655dab929aca5f2a9a6ea434,Huana,27,5,2016,102,133,104
655dab929aca5f2a9a6ea435,Huana,28,5,2016,147,176,142
655dab929aca5f2a9a6ea436,Huana,29,5,2016,157,103,122
655dab929aca5f2a9a6ea437,Huana,30,5,2016,138,113,124
655dab929aca5f2a9a6ea438,Huana,31,5,2016,124,113,90
655dab929aca5f2a9a6ea439,Huana,1,6,2016,104,154,96
655dab929aca5f2a9a6ea43a,Huana,2,6,2016,174,130,136
655dab929aca5f2a9a6ea43b,Huana,3,6,2016,119,110,100
655dab929aca5f2a9a6ea43c,Huana,4,6,2016,186,121,92
655dab929aca5f2a9a6ea43d,Huana,5,6,2016,118,166,100
655dab929aca5f2a9a6ea43e,Huana,6,6,2016,150,153,96
655dab929aca5f2a9a6ea43f,Huana,7,6,2016,129,106,98
655dab929aca5f2a9a6ea440,Huana,8,6,2016,193,162,94
655dab929aca5f2a9a6ea441,Huana,9,6,2016,153,142,128
655dab929aca5f2a9a6ea442,Huana,10,6,2016,127,114,124
655dab929aca5f2a9a6ea443,Huana,11,6,2016,140,164,94
655dab929aca5f2a9a6ea444,Huana,12,6,2016,121,125,132
655dab929aca5f2a9a6ea445,Huana,13,6,2016,149,143,90
655dab929aca5f2a9a6ea446,Huana,14,6,2016,184,97,108
655dab929aca5f2a9a6ea447,Huana,15,6,2016,185,174,108
655dab929aca5f2a9a6ea448,Huana,16,6,2016,183,121,102
655dab929aca5f2a9a6ea449,Huana,17,6,2016,186,155,116
655dab929aca5f2a9a6ea44a,Huana,18,6,2016,127,122,120
655dab929aca5f2a9a6ea44b,Huana,19,6,2016,176,109,138
655dab929aca5f2a9a6ea44c,Huana,20,6,2016,198,121,106
655dab929aca5f2a9a6ea44d,Huana,21,6,2016,155,152,94
655dab929aca5f2a9a6ea44e,Huana,22,6,2016,123,133,120
655dab929aca5f2a9a6ea44f,Huana,23,6,2016,136,132,136
655dab929aca5f2a9a6ea450,Huana,24,6,2016,151,91,140
655dab929aca5f2a9a6ea451,Huana,25,6,2016,120,119,126
655dab929aca5f2a9a6ea452,Huana,26,6,2016,194,148,130
655dab929aca5f2a9a6ea453,Huana,27,6,2016,146,133,124
655dab929aca5f2a9a6ea454,Huana,28,6,2016,182,111,94
655dab929aca5f2a9a6ea455,Huana,29,6,2016,126,113,108
655dab929aca5f2a9a6ea456,Huana,30,6,2016,189,125,116
655dab929aca5f2a9a6ea457,Huana,1,7,2016,115,132,124
655dab929aca5f2a9a6ea458,Huana,2,7,2016,131,100,116
655dab929aca5f2a9a6ea459,Huana,3,7,2016,103,171,118
655dab929aca5f2a9a6ea45a,Huana,4,7,2016,164,102,124
655dab929aca5f2a9a6ea45b,Huana,5,7,2016,159,159,132
655dab929aca5f2a9a6ea45c,Huana,6,7,2016,184,112,100
655dab929aca5f2a9a6ea45d,Huana,7,7,2016,147,96,104
655dab929aca5f2a9a6ea45e,Huana,8,7,2016,163,137,126
655dab929aca5f2a9a6ea45f,Huana,9,7,2016,157,130,134
655dab929aca5f2a9a6ea460,Huana,10,7,2016,102,171,124
655dab929aca5f2a9a6ea461,Huana,11,7,2016,114,105,96
655dab929aca5f2a9a6ea462,Huana,12,7,2016,136,146,106
655dab929aca5f2a9a6ea463,Huana,13,7,2016,159,145,106
655dab929aca5f2a9a6ea464,Huana,14,7,2016,118,163,118
655dab929aca5f2a9a6ea465,Huana,15,7,2016,169,96,124
655dab929aca5f2a9a6ea466,Huana,16,7,2016,130,128,142
655dab929aca5f2a9a6ea467,Huana,17,7,2016,167,103,116
655dab929aca5f2a9a6ea468,Huana,18,7,2016,190,174,114
655dab929aca5f2a9a6ea469,Huana,19,7,2016,106,100,144
655dab929aca5f2a9a6ea46a,Huana,20,7,2016,130,133,118
655dab929aca5f2a9a6ea46b,Huana,21,7,2016,151,122,90
655dab929aca5f2a9a6ea46c,Huana,22,7,2016,104,155,122
655dab929aca5f2a9a6ea46d,Huana,23,7,2016,113,169,134
655dab929aca5f2a9a6ea46e,Huana,24,7,2016,197,170,96
655dab929aca5f2a9a6ea46f,Huana,25,7,2016,187,127,90
655dab929aca5f2a9a6ea470,Huana,26,7,2016,129,128,116
655dab929aca5f2a9a6ea471,Huana,27,7,2016,163,167,94
655dab929aca5f2a9a6ea472,Huana,28,7,2016,176,139,126
655dab929aca5f2a9a6ea473,Huana,29,7,2016,107,143,92
655dab929aca5f2a9a6ea474,Huana,30,7,2016,151,158,144
655dab929aca5f2a9a6ea475,Huana,31,7,2016,122,99,148
655dab929aca5f2a9a6ea476,Huana,1,8,2016,192,140,98
655dab929aca5f2a9a6ea477,Huana,2,8,2016,111,98,118
655dab929aca5f2a9a6ea478,Huana,3,8,2016,151,103,98
655dab929aca5f2a9a6ea479,Huana,4,8,2016,128,92,114
655dab929aca5f2a9a6ea47a,Huana,5,8,2016,188,176,138
655dab929aca5f2a9a6ea47b,Huana,6,8,2016,101,137,98
655dab929aca5f2a9a6ea47c,Huana,7,8,2016,168,111,108
655dab929aca5f2a9a6ea47d,Huana,8,8,2016,154,161,92
655dab929aca5f2a9a6ea47e,Huana,9,8,2016,154,119,126
655dab929aca5f2a9a6ea47f,Huana,10,8,2016,156,118,122
655dab929aca5f2a9a6ea480,Huana,11,8,2016,119,134,130
655dab929aca5f2a9a6ea481,Huana,12,8,2016,120,118,92
655dab929aca5f2a9a6ea482,Huana,13,8,2016,128,108,92
655dab929aca5f2a9a6ea483,Huana,14,8,2016,154,165,122
655dab929aca5f2a9a6ea484,Huana,15,8,2016,195,112,128
655dab929aca5f2a9a6ea485,Huana,16,8,2016,164,98,118
655dab929aca5f2a9a6ea486,Huana,17,8,2016,150,159,128
655dab929aca5f2a9a6ea487,Huana,18,8,2016,191,97,124
655dab929aca5f2a9a6ea488,Huana,19,8,2016,151,144,104
655dab929aca5f2a9a6ea489,Huana,20,8,2016,102,95,126
655dab929aca5f2a9a6ea48a,Huana,21,8,2016,139,114,92
655dab929aca5f2a9a6ea48b,Huana,22,8,2016,121,155,120
655dab929aca5f2a9a6ea48c,Huana,23,8,2016,172,93,138
655dab929aca5f2a9a6ea48d,Huana,24,8,2016,169,92,148
655dab929aca5f2a9a6ea48e,Huana,25,8,2016,181,148,144
655dab929aca5f2a9a6ea48f,Huana,26,8,2016,145,162,134
655dab929aca5f2a9a6ea490,Huana,27,8,2016,186,91,92
655dab929aca5f2a9a6ea491,Huana,28,8,2016,108,158,126
655dab929aca5f2a9a6ea492,Huana,29,8,2016,182,135,96
655dab929aca5f2a9a6ea493,Huana,30,8,2016,108,106,104
655dab929aca5f2a9a6ea494,Huana,31,8,2016,153,143,146
655dab929aca5f2a9a6ea495,Huana,1,9,2016,156,146,136
655dab929aca5f2a9a6ea496,Huana,2,9,2016,184,116,132
655dab929aca5f2a9a6ea497,Huana,3,9,2016,111,128,126
655dab929aca5f2a9a6ea498,Huana,4,9,2016,188,171,144
655dab929aca5f2a9a6ea499,Huana,5,9,2016,169,166,124
655dab929aca5f2a9a6ea49a,Huana,6,9,2016,111,115,94
655dab929aca5f2a9a6ea49b,Huana,7,9,2016,111,101,146
655dab929aca5f2a9a6ea49c,Huana,8,9,2016,118,96,124
655dab929aca5f2a9a6ea49d,Huana,9,9,2016,174,167,108
655dab929aca5f2a9a6ea49e,Huana,10,9,2016,147,142,138
655dab929aca5f2a9a6ea49f,Huana,11,9,2016,178,111,106
655dab929aca5f2a9a6ea4a0,Huana,12,9,2016,188,108,100
655dab929aca5f2a9a6ea4a1,Huana,13,9,2016,155,90,90
655dab929aca5f2a9a6ea4a2,Huana,14,9,2016,195,126,120
655dab929aca5f2a9a6ea4a3,Huana,15,9,2016,171,150,114
655dab929aca5f2a9a6ea4a4,Huana,16,9,2016,196,152,128
655dab929aca5f2a9a6ea4a5,Huana,17,9,2016,184,158,124
655dab929aca5f2a9a6ea4a6,Huana,18,9,2016,182,141,94
655dab929aca5f2a9a6ea4a7,Huana,19,9,2016,164,139,148
655dab929aca5f2a9a6ea4a8,Huana,20,9,2016,198,177,130
655dab929aca5f2a9a6ea4a9,Huana,21,9,2016,168,96,146
655dab929aca5f2a9a6ea4aa,Huana,22,9,2016,175,178,136
655dab929aca5f2a9a6ea4ab,Huana,23,9,2016,174,101,96
655dab929aca5f2a9a6ea4ac,Huana,24,9,2016,106,115,94
655dab929aca5f2a9a6ea4ad,Huana,25,9,2016,148,90,148
655dab929aca5f2a9a6ea4ae,Huana,26,9,2016,155,144,144
655dab929aca5f2a9a6ea4af,Huana,27,9,2016,112,102,108
655dab929aca5f2a9a6ea4b0,Huana,28,9,2016,193,177,96
655dab939aca5f2a9a6ea4b1,Huana,29,9,2016,186,149,114
655dab939aca5f2a9a6ea4b2,Huana,30,9,2016,137,143,110
655dab939aca5f2a9a6ea4b3,Huana,1,10,2016,143,178,138
655dab939aca5f2a9a6ea4b4,Huana,2,10,2016,132,165,100
655dab939aca5f2a9a6ea4b5,Huana,3,10,2016,156,155,92
655dab939aca5f2a9a6ea4b6,Huana,4,10,2016,180,121,122
655dab939aca5f2a9a6ea4b7,Huana,5,10,2016,150,165,106
655dab939aca5f2a9a6ea4b8,Huana,6,10,2016,178,158,122
655dab939aca5f2a9a6ea4b9,Huana,7,10,2016,199,124,112
655dab939aca5f2a9a6ea4ba,Huana,8,10,2016,141,158,144
655dab939aca5f2a9a6ea4bb,Huana,9,10,2016,184,108,136
655dab939aca5f2a9a6ea4bc,Huana,10,10,2016,166,94,140
655dab939aca5f2a9a6ea4bd,Huana,11,10,2016,194,131,98
655dab939aca5f2a9a6ea4be,Huana,12,10,2016,157,167,106
655dab939aca5f2a9a6ea4bf,Huana,13,10,2016,151,96,130
655dab939aca5f2a9a6ea4c0,Huana,14,10,2016,167,121,92
655dab939aca5f2a9a6ea4c1,Huana,15,10,2016,183,120,146
655dab939aca5f2a9a6ea4c2,Huana,16,10,2016,145,94,100
655dab939aca5f2a9a6ea4c3,Huana,17,10,2016,145,134,144
655dab939aca5f2a9a6ea4c4,Huana,18,10,2016,153,114,114
655dab939aca5f2a9a6ea4c5,Huana,19,10,2016,140,132,132
655dab939aca5f2a9a6ea4c6,Huana,20,10,2016,145,153,138
655dab939aca5f2a9a6ea4c7,Huana,21,10,2016,130,156,142
655dab939aca5f2a9a6ea4c8,Huana,22,10,2016,110,163,124
655dab939aca5f2a9a6ea4c9,Huana,23,10,2016,177,110,96
655dab939aca5f2a9a6ea4ca,Huana,24,10,2016,179,100,130
655dab939aca5f2a9a6ea4cb,Huana,25,10,2016,105,173,132
655dab939aca5f2a9a6ea4cc,Huana,26,10,2016,181,127,142
655dab939aca5f2a9a6ea4cd,Huana,27,10,2016,172,115,106
655dab939aca5f2a9a6ea4ce,Huana,28,10,2016,195,130,92
655dab939aca5f2a9a6ea4cf,Huana,29,10,2016,159,164,118
655dab939aca5f2a9a6ea4d0,Huana,30,10,2016,183,156,132
655dab939aca5f2a9a6ea4d1,Huana,31,10,2016,117,173,134
655dab939aca5f2a9a6ea4d2,Huana,1,11,2016,121,148,96
655dab939aca5f2a9a6ea4d3,Huana,2,11,2016,116,163,110
655dab939aca5f2a9a6ea4d4,Huana,3,11,2016,175,127,148
655dab939aca5f2a9a6ea4d5,Huana,4,11,2016,193,169,96
655dab939aca5f2a9a6ea4d6,Huana,5,11,2016,184,147,130
655dab939aca5f2a9a6ea4d7,Huana,6,11,2016,130,172,132
655dab939aca5f2a9a6ea4d8,Huana,7,11,2016,190,93,136
655dab939aca5f2a9a6ea4d9,Huana,8,11,2016,170,106,92
655dab939aca5f2a9a6ea4da,Huana,9,11,2016,169,99,104
655dab939aca5f2a9a6ea4db,Huana,10,11,2016,196,152,122
655dab939aca5f2a9a6ea4dc,Huana,11,11,2016,185,128,94
655dab939aca5f2a9a6ea4dd,Huana,12,11,2016,160,109,124
655dab939aca5f2a9a6ea4de,Huana,13,11,2016,162,97,140
655dab939aca5f2a9a6ea4df,Huana,14,11,2016,132,98,144
655dab939aca5f2a9a6ea4e0,Huana,15,11,2016,139,118,110
655dab939aca5f2a9a6ea4e1,Huana,16,11,2016,144,99,108
655dab939aca5f2a9a6ea4e2,Huana,17,11,2016,115,92,110
655dab939aca5f2a9a6ea4e3,Huana,18,11,2016,177,143,138
655dab939aca5f2a9a6ea4e4,Huana,19,11,2016,194,171,104
655dab939aca5f2a9a6ea4e5,Huana,20,11,2016,140,98,148
655dab939aca5f2a9a6ea4e6,Huana,21,11,2016,126,97,114
655dab939aca5f2a9a6ea4e7,Huana,22,11,2016,162,160,114
655dab939aca5f2a9a6ea4e8,Huana,23,11,2016,161,151,128
655dab939aca5f2a9a6ea4e9,Huana,24,11,2016,171,93,114
655dab939aca5f2a9a6ea4ea,Huana,25,11,2016,101,147,104
655dab939aca5f2a9a6ea4eb,Huana,26,11,2016,170,144,142
655dab939aca5f2a9a6ea4ec,Huana,27,11,2016,153,150,96
655dab939aca5f2a9a6ea4ed,Huana,28,11,2016,136,96,108
655dab939aca5f2a9a6ea4ee,Huana,29,11,2016,155,135,92
655dab939aca5f2a9a6ea4ef,Huana,30,11,2016,100,161,146
655dab939aca5f2a9a6ea4f0,Huana,1,12,2016,133,130,120
655dab939aca5f2a9a6ea4f1,Huana,2,12,2016,183,166,102
655dab939aca5f2a9a6ea4f2,Huana,3,12,2016,110,178,120
655dab939aca5f2a9a6ea4f3,Huana,4,12,2016,101,92,120
655dab939aca5f2a9a6ea4f4,Huana,5,12,2016,157,146,98
655dab939aca5f2a9a6ea4f5,Huana,6,12,2016,153,171,122
655dab939aca5f2a9a6ea4f6,Huana,7,12,2016,162,143,128
655dab939aca5f2a9a6ea4f7,Huana,8,12,2016,173,178,102
655dab939aca5f2a9a6ea4f8,Huana,9,12,2016,154,125,138
655dab939aca5f2a9a6ea4f9,Huana,10,12,2016,197,94,138
655dab939aca5f2a9a6ea4fa,Huana,11,12,2016,100,134,136
655dab939aca5f2a9a6ea4fb,Huana,12,12,2016,172,130,140
655dab939aca5f2a9a6ea4fc,Huana,13,12,2016,176,169,104
655dab939aca5f2a9a6ea4fd,Huana,14,12,2016,153,107,98
655dab939aca5f2a9a6ea4fe,Huana,15,12,2016,115,121,132
655dab939aca5f2a9a6ea4ff,Huana,16,12,2016,199,126,142
655dab939aca5f2a9a6ea500,Huana,17,12,2016,129,90,94
655dab939aca5f2a9a6ea501,Huana,18,12,2016,166,178,140
655dab939aca5f2a9a6ea502,Huana,19,12,2016,164,103,102
655dab939aca5f2a9a6ea503,Huana,20,12,2016,129,163,94
655dab939aca5f2a9a6ea504,Huana,21,12,2016,116,151,104
655dab939aca5f2a9a6ea505,Huana,22,12,2016,134,100,148
655dab939aca5f2a9a6ea506,Huana,23,12,2016,180,123,126
655dab939aca5f2a9a6ea507,Huana,24,12,2016,134,148,128
655dab939aca5f2a9a6ea508,Huana,25,12,2016,129,131,140
655dab939aca5f2a9a6ea509,Huana,26,12,2016,144,100,138
655dab939aca5f2a9a6ea50a,Huana,27,12,2016,119,120,144
655dab939aca5f2a9a6ea50b,Huana,28,12,2016,129,162,104
655dab939aca5f2a9a6ea50c,Huana,29,12,2016,188,179,108
655dab939aca5f2a9a6ea50d,Huana,30,12,2016,115,151,144
655dab939aca5f2a9a6ea50e,Huana,31,12,2016,136,92,138
655dab939aca5f2a9a6ea50f,Huana,1,1,2017,103,153,114
655dab939aca5f2a9a6ea510,Huana,2,1,2017,105,114,124
655dab939aca5f2a9a6ea511,Huana,3,1,2017,111,95,110
655dab939aca5f2a9a6ea512,Huana,4,1,2017,173,173,140
655dab939aca5f2a9a6ea513,Huana,5,1,2017,104,161,134
655dab939aca5f2a9a6ea514,Huana,6,1,2017,170,145,102
655dab939aca5f2a9a6ea515,Huana,7,1,2017,140,156,114
655dab939aca5f2a9a6ea516,Huana,8,1,2017,156,126,102
655dab939aca5f2a9a6ea517,Huana,9,1,2017,109,145,146
655dab939aca5f2a9a6ea518,Huana,10,1,2017,128,177,120
655dab939aca5f2a9a6ea519,Huana,11,1,2017,155,118,138
655dab939aca5f2a9a6ea51a,Huana,12,1,2017,170,176,146
655dab939aca5f2a9a6ea51b,Huana,13,1,2017,125,159,128
655dab939aca5f2a9a6ea51c,Huana,14,1,2017,151,145,104
655dab939aca5f2a9a6ea51d,Huana,15,1,2017,183,158,136
655dab939aca5f2a9a6ea51e,Huana,16,1,2017,185,108,140
655dab939aca5f2a9a6ea51f,Huana,17,1,2017,139,100,132
655dab939aca5f2a9a6ea520,Huana,18,1,2017,148,147,126
655dab939aca5f2a9a6ea521,Huana,19,1,2017,139,112,108
655dab939aca5f2a9a6ea522,Huana,20,1,2017,158,105,110
655dab939aca5f2a9a6ea523,Huana,21,1,2017,197,118,132
655dab939aca5f2a9a6ea524,Huana,22,1,2017,149,90,108
655dab939aca5f2a9a6ea525,Huana,23,1,2017,107,120,100
655dab939aca5f2a9a6ea526,Huana,24,1,2017,102,96,116
655dab939aca5f2a9a6ea527,Huana,25,1,2017,174,164,142
655dab939aca5f2a9a6ea528,Huana,26,1,2017,116,117,114
655dab939aca5f2a9a6ea529,Huana,27,1,2017,133,176,142
655dab939aca5f2a9a6ea52a,Huana,28,1,2017,141,128,106
655dab939aca5f2a9a6ea52b,Huana,29,1,2017,144,169,110
655dab939aca5f2a9a6ea52c,Huana,30,1,2017,149,151,122
